Year	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
1859	36.918th	35.67th	30.431st	31.13rd	28.61st	21.313th	19.77th	22.927th	25.629th	35.010th	31.228th	36.610th
1860	37.412th	31.418th	33.124th	27.711th	23.316th	20.625th	18.411th	21.721st	24.99th	28.78th	29.83rd	27.92nd
1861	31.021st	33.320th	36.124th	28.07th	23.21st	21.123rd	18.12nd	21.130th	30.730th	33.822nd	32.326th	33.520th
1862	36.016th	28.725th	34.310th	26.84th	24.45th	19.910th	19.223rd	24.427th	29.728th	32.124th	37.820th	38.16th
1863	41.65th	32.018th	31.17th	26.72nd	23.55th	19.96th	21.731st	22.929th	23.329th	27.230th	32.217th	36.610th
1864	34.326th	32.88th	30.815th	28.66th	21.97th	19.83rd	19.114th	21.728th	28.326th	23.813th	29.97th	32.92nd
1865	33.95th	36.77th	30.124th	29.815th	21.78th	20.122nd	18.619th	24.322nd	29.13rd	35.027th	36.21st	38.921st
1866	34.814th	38.319th	32.18th	28.121st	22.91st	21.17th	18.29th	24.231st	28.015th	29.218th	32.529th	33.417th
1867	30.32nd	34.719th	29.27th	26.46th	22.53rd	19.48th	21.327th	22.427th	26.430th	36.724th	37.316th	33.629th
1868	29.426th	32.88th	33.313th	29.58th	23.118th	20.429th	21.517th	25.630th	28.328th	31.920th	31.829th	38.625th
1869	35.46th	30.225th	39.23rd	24.123rd	21.61st	19.69th	20.215th	25.630th	27.530th	28.426th	36.218th	37.527th
1870	40.713th	31.919th	28.023rd	27.19th	20.75th	19.72nd	18.831st	20.614th	24.726th	28.822nd	28.46th	37.37th
1871	30.131st	30.714th	31.710th	25.88th	23.42nd	18.430th	23.817th	26.125th	23.112th	29.812th	28.91st	39.922nd
1872	36.817th	28.321st	26.15th	24.05th	20.411th	23.724th	21.824th	20.631st	26.412th	30.828th	27.229th	30.19th
1873	29.821st	27.210th	27.621st	23.916th	25.716th	21.32nd	18.112th	27.616th	30.128th	31.617th	25.42nd	37.816th
1874	28.95th	34.75th	29.514th	24.713th	21.711th	20.17th	18.124th	22.717th	26.226th	35.612th	34.321st	35.723rd
1875	36.129th	37.24th	31.23rd	25.92nd	21.74th	21.226th	21.614th	27.720th	31.421st	29.415th	30.16th	35.31st
1876	32.719th	36.125th	32.026th	30.65th	24.812th	20.415th	16.611th	22.331st	27.421st	27.823rd	33.812th	31.315th
1877	34.36th	32.21st	32.71st	28.710th	22.423rd	20.58th	18.99th	23.515th	24.59th	32.727th	32.61st	36.323rd
1878	30.515th	32.823rd	32.916th	26.119th	23.012th	17.312th	21.826th	25.528th	30.821st	30.330th	39.321st	31.717th
1879	29.829th	30.927th	31.525th	26.91st	19.323rd	16.726th	17.031st	19.629th	23.423rd	35.023rd	28.930th	35.81st
1880	33.98th	26.514th	27.931st	28.85th	23.72nd	20.014th	19.527th	26.321st	28.524th	32.130th	34.914th	31.63rd
1881	32.120th	38.113th	30.131st	30.59th	24.59th	18.91st	18.66th	25.027th	25.118th	29.910th	31.94th	32.828th
1882	33.523rd	35.516th	31.729th	24.724th	23.97th	17.424th	22.97th	23.326th	31.724th	31.917th	28.722nd	37.719th
1883	27.71st	29.428th	25.722nd	25.24th	22.34th	22.216th	18.416th	27.219th	28.323rd	29.317th	27.328th	37.612th
1884	38.214th	33.322nd	32.31st	24.515th	21.74th	19.21st	23.612th	27.831st	27.223rd	32.217th	26.624th	32.83rd
1885	35.931st	33.420th	33.312th	25.214th	25.25th	20.91st	18.225th	27.729th	26.95th	32.431st	36.45th	34.38th
1886	33.530th	36.312th	33.921st	26.74th	24.118th	17.910th	18.95th	20.731st	24.16th	31.630th	32.312th	30.64th
1887	30.330th	30.628th	29.421st	31.63rd	21.42nd	18.63rd	22.631st	18.93rd	22.622nd	34.618th	29.526th	30.46th
1888	36.818th	31.04th	33.815th	28.310th	22.31st	22.418th	19.98th	23.826th	27.122nd	29.74th	33.824th	29.931st
1889	39.314th	35.927th	33.17th	25.04th	24.33rd	20.09th	18.029th	20.920th	28.79th	31.15th	27.918th	37.527th
1890	30.03rd	29.314th	25.36th	24.27th	20.15th	19.32nd	17.521st	24.230th	23.724th	34.57th	34.57th	31.530th
1891	36.39th	28.715th	27.812th	28.812th	22.57th	17.826th	16.76th	19.623rd	22.84th	29.913th	28.327th	36.430th
1892	27.65th	32.211th	28.81st	24.75th	21.711th	19.18th	17.317th	20.029th	24.426th	31.912th	30.526th	31.714th
1893	31.213th	29.014th	27.47th	23.11st	21.230th	19.11st	21.824th	22.415th	28.923rd	26.916th	30.44th	34.26th
1894	36.112th	36.112th	28.37th	25.417th	20.41st	18.82nd	20.528th	21.826th	26.622nd	25.526th	36.426th	32.615th
1895	32.425th	32.328th	28.417th	26.120th	21.814th	21.120th	19.315th	24.424th	28.89th	28.818th	32.17th	35.616th
1896	42.513th	36.71st	27.25th	28.88th	27.23rd	19.628th	19.45th	19.823rd	25.613th	33.613th	31.113th	38.628th
1897	32.422nd	32.524th	33.814th	31.112th	26.017th	20.010th	19.431st	22.231st	27.718th	31.125th	37.420th	30.617th
1898	36.719th	34.99th	30.114th	28.33rd	19.623rd	18.811th	21.227th	22.428th	32.122nd	37.219th	34.32nd	30.13rd
1899	31.53rd	28.427th	32.423rd	27.37th	22.23rd	20.223rd	19.330th	23.331st	28.116th	32.29th	37.228th	38.91st
1900	35.619th	30.420th	31.620th	25.010th	21.29th	19.53rd	18.925th	21.216th	22.819th	36.320th	34.61st	40.117th
1901	33.44th	32.28th	31.610th	28.615th	24.220th	18.95th	20.021st	22.916th	30.714th	34.626th	36.726th	40.017th
1902	33.417th	35.76th	36.126th	26.714th	24.17th	20.320th	22.230th	18.430th	25.67th	27.310th	35.07th	37.824th
1903	31.76th	36.73rd	34.523rd	29.95th	22.88th	18.323rd	20.01st	21.111th	29.412th	25.513th	35.126th	30.312th
1904	36.026th	29.012th	25.816th	25.03rd	24.66th	20.921st	19.814th	21.413th	27.225th	30.230th	34.02nd	41.931st
1905	30.82nd	35.323rd	32.210th	26.619th	24.58th	20.122nd	21.19th	24.920th	24.14th	29.36th	36.717th	29.310th
1906	32.824th	36.322nd	32.82nd	31.118th	26.66th	20.519th	22.212th	22.825th	21.127th	33.830th	33.322nd	32.217th
1907	31.16th	31.614th	32.25th	27.72nd	22.87th	17.92nd	19.122nd	24.127th	32.824th	32.31st	28.926th	33.016th
1908	34.428th	32.98th	30.331st	27.110th	24.76th	19.21st	22.820th	22.322nd	27.725th	32.57th	38.87th	35.630th
1909	40.03rd	28.615th	31.625th	31.74th	24.414th	22.724th	18.925th	22.012th	24.424th	34.410th	35.910th	39.314th
1910	33.216th	31.77th	29.38th	26.526th	26.42nd	20.59th	18.62nd	23.330th	23.819th	34.425th	30.224th	35.927th
